Department,FullTimePartTime,Tenure,ManagementLevel,HiltonCSR,WellInformed,JobSatisfaction,RewardsJustice,GenX,Millennial,GenZ,MCPaysat,all_eng,all_workenv,all_treat,all_adeq,all_reward,all_learn,all_wrklfe,all_mgt,ClearJobExpectations,IntentToStayHighLow
6,3.0,5.0,4,4.0,4.0,4.0,4.0,0,1,0,0.3799999999999999,4.3,4.571428571428571,4.25,4.0,5.0,4.1875,5.0,4.375,4.5,1
21,3.0,8.0,3,5.0,4.0,4.0,4.0,0,0,0,1.38,3.6,3.7142857142857144,4.0,4.0,4.0,4.0,4.0,4.375,4.0,1
6,3.0,2.0,4,5.0,4.0,5.0,5.0,0,1,0,1.38,5.0,5.0,5.0,4.5,5.0,4.8125,5.0,5.0,5.0,1
21,4.0,7.0,2,5.0,5.0,5.0,4.0,0,1,0,-2.62,3.8,4.214285714285714,4.0,3.0,5.0,4.1875,1.5,4.125,3.0,0
2,4.0,8.0,1,5.0,5.0,5.0,5.0,1,0,0,1.38,5.0,4.857142857142857,5.0,5.0,5.0,5.0,4.0,5.0,4.5,1
16,5.0,7.0,3,5.0,5.0,5.0,5.0,1,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
7,3.0,6.0,3,5.0,5.0,5.0,5.0,1,0,0,-0.6200000000000001,5.0,4.857142857142857,4.0,4.0,5.0,3.75,5.0,4.625,4.5,1
28,4.0,7.0,2,5.0,5.0,3.0,4.0,0,1,0,-2.62,4.6,4.714285714285714,5.0,5.0,4.5,5.0,2.5,5.0,3.0,0
5,3.0,8.0,4,4.0,4.0,5.0,4.0,0,0,0,0.3799999999999999,4.5,4.142857142857143,4.25,4.0,4.0,4.6875,4.5,4.375,5.0,0
21,3.0,7.0,3,4.0,4.0,4.0,5.0,0,0,0,0.3799999999999999,4.0,4.857142857142857,3.75,4.0,4.0,4.1875,4.5,4.625,4.0,0
16,3.0,3.0,3,4.0,4.0,4.0,4.0,0,0,0,-1.62,3.8,3.857142857142857,4.0,3.0,3.5,3.125,4.0,3.875,4.0,0
21,3.0,8.0,4,5.0,5.0,5.0,5.0,1,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
21,3.0,6.0,3,3.0,3.0,3.0,4.0,0,1,0,-0.6200000000000001,3.0,3.5,3.0,4.0,4.0,2.6875,4.0,3.5,3.5,0
16,3.0,3.0,3,3.0,3.0,4.0,4.0,0,1,0,0.3799999999999999,3.5,4.071428571428571,4.0,3.5,4.0,3.625,4.0,3.625,3.5,0
5,3.0,8.0,3,3.0,4.0,4.0,4.0,0,0,0,1.38,4.3,3.5714285714285716,3.25,3.5,5.0,3.125,4.0,2.5,2.5,0
21,3.0,7.0,3,5.0,5.0,5.0,5.0,0,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
30,5.0,8.0,3,5.0,5.0,5.0,4.0,0,0,0,0.3799999999999999,5.0,5.0,4.75,5.0,5.0,5.0,5.0,4.75,5.0,1
28,4.0,7.0,2,5.0,5.0,5.0,5.0,0,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
28,4.0,2.0,2,3.0,3.0,4.0,4.0,0,1,0,0.3799999999999999,4.0,4.0,3.5,4.5,5.0,4.25,4.0,3.875,4.0,0
28,4.0,6.0,2,2.0,5.0,5.0,4.0,0,1,0,-1.62,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,1
